ClienteID,numero_compras,ingreso_total,ingreso_promedio,primera_compra,ultima_compra,ClienteNombre,GeneroCliente,EdadCliente,dias_desde_ultima_compra
17507,1,0.0,,,,Paco Olivera Suárez,M,36,
1,2,0.0,,,,Bienvenida Nebot-Fiol,F,37,
2,6,0.0,,,,Teófila Bueno-Novoa,F,43,
17491,1,0.0,,,,Fortunata Fuentes-Valencia,F,23,
17490,1,0.0,,,,Elba Alcázar García,F,33,
17489,1,0.0,,,,Sigfrido Llano Sanz,M,51,
17488,1,0.0,,,,Bernarda Izquierdo Valenzuela,F,29,
17487,1,0.0,,,,Moreno Cabrero Mur,M,34,
17486,1,0.0,,,,María José Ferrández Sarabia,F,28,
17485,1,0.0,,,,María Del Carmen Bertrán,F,50,
17484,1,0.0,,,,Borja Requena Blázquez,M,39,
17483,1,0.0,,,,Pablo Aranda Montaña,M,37,
17482,1,0.0,,,,Cristina Roda Jurado,F,41,
17481,1,0.0,,,,Dorotea Escobar Vera,F,47,
17480,1,0.0,,,,Basilio Gámez Borja,M,20,
17479,1,0.0,,,,Miguel Ángel Torres Parra,M,37,
17478,1,0.0,,,,Albert Antonio Prado Sanjuan,M,49,
17477,1,0.0,,,,Ruy Múgica Martorell,M,25,
17476,1,0.0,,,,Amada Asensio Salinas,F,32,
35,3,0.0,,,,Virginia Campo Nicolás,F,38,
34,2,0.0,,,,María Dolores Chaparro Mendoza,F,31,
33,2,0.0,,,,Alcides Cal Novoa,M,27,
32,2,0.0,,,,Ruy Gras,M,26,
31,1,0.0,,,,Daniel Dalmau,M,34,
30,2,0.0,,,,Tomasa Benito Casanova,F,35,
29,1,0.0,,,,Crescencia Segura Salas,F,25,
28,2,0.0,,,,Tristán Montesinos Lorenzo,M,30,
27,2,0.0,,,,Ulises Taboada Bru,M,26,
26,4,0.0,,,,Amado Cecilio Borrell Blanca,M,27,
25,2,0.0,,,,Evita Torrecilla Rivas,F,32,
24,1,0.0,,,,Juanita de Reig,F,45,
23,4,0.0,,,,Luis Miguel Díaz Fonseca,M,49,
22,4,0.0,,,,Máximo Díaz Millán,M,24,
21,2,0.0,,,,Juan Carlos Zorrilla Torrens,M,18,
20,2,0.0,,,,Benito Samper Salcedo,M,49,
51,2,0.0,,,,Baltasar Quintanilla Moles,M,38,
50,2,0.0,,,,Ruperta Martí-Nevado,F,28,
49,1,0.0,,,,Ema Alba Mata Chamorro,F,44,
48,2,0.0,,,,Luís Gaspar Zaragoza Botella,M,34,
47,2,0.0,,,,Mariano Sebastian Quiroga Tapia,M,47,
